CougarInterval,CougarID,ClusterID_unique,SearchTime,ST_sqr,PreyGroup,PreyAgeClass,Site,BearSign,Comb_WeightClass,PreyCategory,CanopyPercent,DemographicStatus,BearDisplacement,CoverType,Dist2road,DensityofRoads_5010,BearHarvestDensity,MultipleKills,Season,AgeClass,ElkUse_3000,DeerUse_3000,THI_990
BC02_1,BC02,BC02-158,50,7.071067812,Deer,Adult,Books,N,Large,Deer,22,0-5mo,No,coniferous,0.887983574,-0.87492989,0.337969786,No,Fall,PrimeAdult,0.388009071,0.322803577,17498.53906
BC02_1,BC02,BC02-160,14,3.741657387,Deer,Adult,Books,N,Large,Deer,22,0-5mo,No,coniferous,-0.890762869,-0.484522666,0.337969786,No,Fall,PrimeAdult,0.388160129,0.270008883,20711.19141
BC02_1,BC02,BC02-162,54,7.348469228,Deer,Adult,Books,N,Large,Deer,21,0-5mo,No,scrub,0.521049198,-0.629848227,0.337969786,No,Fall,PrimeAdult,0.413833529,0.306361414,15647.0791
BC02_1,BC02,BC02-165,12,3.464101615,Elk,Neonate,Books,Y,Medium,Elk,17,0-5mo,can't tell,coniferous,0.910374711,-0.161865162,0.337969786,No,Fall,PrimeAdult,0.384648388,0.348714124,11877.21387
BC02_1,BC02,BC02-166,42,6.480740698,Deer,Neonate,Books,N,Medium,Deer,34,0-5mo,No,coniferous,1.202655838,-1.110543714,0.337969786,No,Fall,PrimeAdult,0.41147915,0.325981491,15913.00586
BC02_1,BC02,BC02-167,74,8.602325267,Elk,Neonate,Books,N,Medium,Elk,22,0-5mo,No,coniferous,0.144373633,0.499870657,0.337969786,No,Fall,PrimeAdult,0.422184784,0.357891096,23678.04883
BC02_1,BC02,BC02-168,16,4,Deer,Neonate,Books,N,Medium,Deer,1,0-5mo,No,coniferous,0.898693301,0.187395314,0.337969786,No,Fall,PrimeAdult,0.450925707,0.382247526,16189.71875
BC02_1,BC02,BC02-169,12,3.464101615,Deer,Unknown,Books,Y,Medium,Deer,1,0-5mo,No,scrub,0.827166361,-0.519900341,0.337969786,No,Fall,PrimeAdult,0.477732137,0.472328403,10430.47266
BC02_1,BC02,BC02-171,16,4,Deer,Unknown,Books,N,Medium,Deer,1,0-5mo,No,scrub,-1.175383736,-0.782717603,0.337969786,No,Fall,PrimeAdult,0.451385045,0.398204603,7969.09375
BC02_1,BC02,BC02-172,20,4.472135955,Elk,Adult,Books,N,ExtraLarge,Elk,1,0-5mo,No,scrub,-0.937138143,-0.391836871,0.337969786,No,Fall,PrimeAdult,0.472726083,0.435594013,2889.749512
BC02_1,BC02,BC02-174,4,2,Elk,Adult,Books,N,ExtraLarge,Elk,6,0-5mo,No,scrub,0.67742064,-0.592528538,0.337969786,No,Fall,PrimeAdult,0.401696116,0.279110882,9184.373047
BC02_1,BC02,BC02-175,14,3.741657387,Elk,Neonate,Books,N,Medium,Elk,10,0-5mo,No,coniferous,-1.355253628,0.637966644,0.337969786,No,Fall,PrimeAdult,0.461107395,0.425106068,6196.725098
BC02_1,BC02,BC02-176,44,6.633249581,Deer,Unknown,Books,N,Medium,Deer,27,0-5mo,No,coniferous,-1.202021114,-0.098775546,0.337969786,No,Winter,PrimeAdult,0.396420702,0.414905382,8574.470703
BC02_1,BC02,BC02-177,26,5.099019514,Deer,Fawn/calf,Books,N,Medium,Deer,1,0-5mo,No,coniferous,-0.977648363,-0.940743845,0.337969786,No,Winter,PrimeAdult,0.396667331,0.382903459,10303.63672
BC02_1,BC02,BC02-178,42,6.480740698,Elk,Fawn/calf,Books,Y,Large,Elk,1,0-5mo,Possible,scrub,0.995751298,-0.054670109,0.337969786,No,Winter,PrimeAdult,0.426955509,0.431396474,6277.964844
