CougarInterval,CougarID,ClusterID_unique,PreyGroup,DurationatKill,PreyAgeClass,Site,BearSign,Comb_WeightClass,PreyCategory,CanopyPercent,DemographicStatus,BearDisplacement,CoverType,thi150,Dist2road,DensityofRoads_990,DensityofRoads_5010,BearHarvestDensity,DurationatKill.sqr,MultipleKills,Season,DeerUse_990,ElkUse_990
WM10_1,WM10,WM10-245,Deer,72,Adult,Manti,N,Large,Deer,48,None,No,coniferous,3.837665603,0.559005376,-0.763989988,-0.391836871,1.285351769,8.485281374,No,Fall,-0.412744717,-0.142869625
WM10_1,WM10,WM10-246,Deer,28,Neonate,Manti,N,Medium,Deer,66,None,No,coniferous,4.205308247,0.114091924,-0.763989988,-0.348572993,1.285351769,5.291502622,No,Fall,-2.288572625,0.03403333
WM10_1,WM10,WM10-247,Deer,131,Neonate,Manti,N,Medium,Deer,48,None,No,coniferous,3.815880937,0.604327968,-0.763989988,-0.477518011,1.285351769,11.44552314,No,Fall,-0.923375663,-0.084785503
WM10_1,WM10,WM10-249,Deer,64,Neonate,Manti,N,Medium,Deer,46,None,No,coniferous,3.985900412,0.659649016,-0.763989988,-0.477518011,1.285351769,8,No,Fall,-0.58970863,-0.088838712
WM12_1,WM12,WM12-005,Turkey,184,Adult,Manti,N,ExtraSmall,Other,34,None,No,coniferous,2.636062126,-1.708227055,1.432335372,0.005821931,0.680428388,13.56465997,No,Winter,0.359583136,-1.083888471
WM12_1,WM12,WM12-006,DomesticUngulate,150,Adult,Manti,N,ExtraLarge,OtherUngulate,1,None,No,deciduous,3.106071221,-0.652006092,-0.154838934,0.492683898,1.527321051,12.24744871,No,Winter,-0.090396707,-0.288162487
WM12_1,WM12,WM12-007,Elk,152,Yearling,Manti,N,ExtraLarge,Elk,22,None,No,deciduous,3.761200116,0.424656594,-0.763989988,-0.245466826,1.527321051,12.32882801,No,Winter,0.285633384,-0.475805325
WM12_1,WM12,WM12-008,DomesticUngulate,20,Adult,Manti,N,Large,OtherUngulate,17,None,No,coniferous,2.627092904,-1.193531105,1.346171162,2.022823407,1.527321051,4.472135955,No,Winter,-0.387505153,-0.601112416
WM14_1,WM14,WM14-005,Deer,30,Unknown,Manti,N,Medium,Deer,16,None,No,coniferous,2.525709113,-0.925771051,2.044057624,1.651861069,1.527321051,5.477225575,No,Winter,-0.472611983,-0.076093306
WM14_1,WM14,WM14-007,Elk,46,Fawn/calf,Manti,N,Large,Elk,1,None,No,coniferous,3.289650961,0.310201574,-0.763989988,0.187395314,1.527321051,6.782329983,No,Winter,-0.332240189,0.233155295
WM14_1,WM14,WM14-011,Deer,72,Fawn/calf,Manti,N,Medium,Deer,1,None,No,scrub,2.624061595,-0.566598264,0.958949376,1.147574141,1.527321051,8.485281374,No,Winter,0.973794254,-0.663998665
WM14_1,WM14,WM14-013,Elk,74,Adult,Manti,N,ExtraLarge,Elk,1,None,No,scrub,2.251304648,0.179428038,-0.763989988,0.547362555,1.527321051,8.602325267,No,Winter,0.698215236,-0.758236725
WM14_1,WM14,WM14-016,Deer,26,Yearling,Manti,N,Medium,Deer,14,None,No,coniferous,2.978929293,-0.994982607,1.27916476,1.733051266,1.527321051,5.099019514,No,Winter,0.957348823,-0.395558279
WM14_1,WM14,WM14-018,Elk,172,Fawn/calf,Manti,N,Large,Elk,29,None,No,coniferous,3.969503904,1.293942294,-0.763989988,-0.986113481,1.527321051,13.11487705,No,Winter,-0.998042917,0.531705097
WM14_1,WM14,WM14-028,Elk,44,Adult,Manti,N,ExtraLarge,Elk,31,None,No,deciduous,3.557723864,1.065072318,-0.763989988,-1.09565977,1.527321051,6.633249581,No,Winter,-1.416134995,-2.09601647
WM14_1,WM14,WM14-029,Elk,216,Adult,Manti,N,ExtraLarge,Elk,1,None,No,scrub,2.397895273,0.262585686,-0.763989988,0.412496842,1.527321051,14.69693846,No,Winter,1.350526942,-0.183530664
WM14_1,WM14,WM14-031,Elk,98,Fawn/calf,Manti,N,Large,Elk,39,None,No,coniferous,2.290031034,-0.373518308,-0.763989988,-1.066326168,1.527321051,9.899494937,No,Winter,-1.69043046,-0.529899897
WM14_1,WM14,WM14-032,Deer,30,Adult,Manti,N,Large,Deer,1,None,No,scrub,2.211017899,0.292770202,-0.763989988,0.392733625,1.527321051,5.477225575,No,Winter,1.101327799,0.15404002
WM14_1,WM14,WM14-038,Deer,26,Fawn/calf,Manti,N,Medium,Deer,1,None,No,coniferous,2.201852524,-0.523482004,-0.763989988,0.685717648,1.527321051,5.099019514,No,Winter,0.416517984,-0.173039694
WM14_1,WM14,WM14-045_A,Deer,96,Yearling,Manti,N,Large,Deer,1,None,No,scrub,2.840539384,-1.275094244,1.960216342,0.582515899,1.527321051,9.797958971,Yes,Spring,2.268552032,1.082241578
WM14_1,WM14,WM14-051,Deer,28,Adult,Manti,N,Large,Deer,1,None,No,scrub,2.759479798,-1.598234262,1.977189755,0.628791059,1.527321051,5.291502622,No,Spring,2.271541311,0.634796505
WM14_1,WM14,WM14-053_B,Elk,152,Yearling,Manti,N,ExtraLarge,Elk,34,None,No,coniferous,3.625466601,-0.371610058,-0.763989988,-1.549278613,1.527321051,12.32882801,No,Spring,0.191226417,-1.716128823
WM14_1,WM14,WM14-053_A,Elk,140,Adult,Manti,N,ExtraLarge,Elk,48,None,No,deciduous,2.823356213,0.0408827,-0.763989988,-1.355035946,1.527321051,11.83215957,No,Spring,0.447292754,-1.524443846
WM14_1,WM14,WM14-054,Deer,80,Yearling,Manti,N,Large,Deer,19,None,No,coniferous,1.95780205,0.618567312,-0.763989988,-1.313938861,1.527321051,8.94427191,No,Spring,0.672233216,0.147060821
WM14_1,WM14,WM14-055,Elk,76,Neonate,Manti,N,Small,Elk,27,None,No,coniferous,3.333698755,0.292248977,-0.763989988,0.053780568,1.527321051,8.717797887,No,Spring,0.90515693,-0.140246865
WM14_1,WM14,WM14-057,Deer,30,Adult,Manti,N,Large,Deer,1,None,No,coniferous,1.749136164,-0.216954509,-0.763989988,0.768201889,1.527321051,5.477225575,No,Spring,2.69409544,-0.203815662
WM14_1,WM14,WM14-059,Deer,70,Adult,Manti,N,Large,Deer,38,None,No,deciduous,2.7300238,-0.644747373,0.563623955,0.192713019,1.527321051,8.366600265,No,Summer,0.647404462,0.380083523
WM14_1,WM14,WM14-061,Deer,36,Fawn/calf,Manti,N,Medium,Deer,25,None,No,coniferous,2.910977758,-0.689875507,0.931814777,-0.408704628,1.527321051,6,No,Summer,0.447576646,1.252916527
WM14_1,WM14,WM14-063,Deer,70,Yearling,Manti,Y,Large,Deer,37,None,Likely.Yes,deciduous,3.155232736,-0.196400076,-0.763989988,-0.325618449,1.527321051,8.366600265,No,Summer,0.716698003,0.576784125
WM14_1,WM14,WM14-064,Deer,18,Yearling,Manti,N,Large,Deer,47,None,No,deciduous,2.901874895,-0.243625363,-0.763989988,0.198020604,1.527321051,4.242640687,No,Summer,-0.184822187,1.382811577
WM14_1,WM14,WM14-065,NonUngMammal,32,Unknown,Manti,N,ExtraSmall,Other,35,None,No,coniferous,3.342570174,0.19879423,-0.763989988,-0.128617058,1.527321051,5.656854249,No,Summer,0.219511453,0.424216355
WM14_1,WM14,WM14-066,Deer,26,Neonate,Manti,N,ExtraSmall,Deer,37,None,No,coniferous,2.420368129,0.72591665,-0.763989988,-0.491550632,1.527321051,5.099019514,No,Summer,0.216590909,0.455447068
WM14_1,WM14,WM14-068,Deer,58,Adult,Manti,Y,Large,Deer,47,None,Likely.Yes,coniferous,3.399821109,0.776691129,-0.763989988,-0.840837659,1.527321051,7.615773106,No,Summer,-0.244611017,0.396121739
WM14_1,WM14,WM14-070,NonUngMammal,110,Unknown,Manti,N,ExtraSmall,Other,40,None,No,coniferous,3.600744399,0.044743388,-0.763989988,0.427234485,1.527321051,10.48808848,No,Summer,-0.150719977,0.640326919
WM14_1,WM14,WM14-071,Deer,58,Adult,Manti,N,Large,Deer,31,None,No,coniferous,4.014879657,-0.248242237,-0.763989988,0.00297328,1.527321051,7.615773106,No,Summer,-0.397176074,0.551779459
WM14_1,WM14,WM14-072,Deer,24,Neonate,Manti,Y,Small,Deer,42,None,Likely.Yes,coniferous,3.511538151,0.316538776,-0.763989988,0.781387918,1.527321051,4.898979486,No,Summer,-0.068999234,1.221640648
WM14_1,WM14,WM14-073,Deer,24,Neonate,Manti,Y,Small,Deer,35,None,Possible,coniferous,3.674190803,-0.523280427,0.334172692,1.342370987,1.527321051,4.898979486,No,Summer,0.149931813,0.531196488
WM14_1,WM14,WM14-074,Deer,38,Neonate,Manti,N,Small,Deer,37,None,No,coniferous,3.568356003,0.968704828,-0.763989988,-1.448043004,1.527321051,6.164414003,No,Summer,-0.108880252,0.964646265
WM14_1,WM14,WM14-076,Deer,36,Neonate,Manti,N,Small,Deer,25,None,No,coniferous,2.315079948,0.50277003,-0.763989988,-1.037544444,1.527321051,6,No,Summer,0.174640248,0.949331361
WM14_1,WM14,WM14-077,Deer,44,Neonate,Manti,N,Small,Deer,35,None,No,coniferous,2.187958691,-0.083607749,-0.763989988,0.103631977,1.527321051,6.633249581,No,Summer,0.346100288,0.583918076
WM14_1,WM14,WM14-078,Deer,44,Neonate,Manti,N,Small,Deer,50,None,No,deciduous,2.420346427,-0.985203583,-0.459414461,-0.516335497,1.527321051,6.633249581,No,Summer,0.740869273,0.183190147
WM14_1,WM14,WM14-079,Deer,26,Adult,Manti,N,Large,Deer,23,None,No,coniferous,2.449518103,1.008393487,-0.763989988,-0.936275074,1.527321051,5.099019514,No,Summer,0.449949905,1.054421064
WM14_1,WM14,WM14-080,Deer,40,Neonate,Manti,N,Small,Deer,38,None,No,coniferous,2.85264082,1.081231881,-0.763989988,-0.742318376,1.527321051,6.32455532,No,Summer,0.227922761,0.360120767
WM14_1,WM14,WM14-081,Deer,28,Neonate,Manti,N,Small,Deer,55,None,No,deciduous,2.983153491,-1.34186051,-0.459414461,-1.57797289,1.527321051,5.291502622,No,Summer,0.908790639,0.159749602
WM14_1,WM14,WM14-082,Deer,30,Neonate,Manti,Y,Small,Deer,40,None,No,coniferous,2.026038705,-0.484720761,0.334172692,0.198020604,1.527321051,5.477225575,No,Summer,-0.032499244,1.299366903
WM14_1,WM14,WM14-084_A,Deer,28,Neonate,Manti,N,Small,Deer,20,None,No,scrub,2.33536704,-0.663046098,0.491807081,0.350296717,1.527321051,5.291502622,No,Summer,0.088662665,0.541918851
WM14_1,WM14,WM14-084_B,Deer,32,Neonate,Manti,N,Small,Deer,15,None,No,coniferous,3.452638574,-0.077193936,-0.763989988,0.157964432,1.527321051,5.656854249,No,Summer,0.056867152,0.854710044
